Time;X_Pos;Y_Pos;Z_Pos;Velocity;Wheel angle;Power;Brake;
1.014;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.015;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.016;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.026;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.028;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.029;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.030;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.031;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.032;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.033;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.034;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.043;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.045;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.046;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.047;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.048;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.049;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.050;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.060;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.061;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.062;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.064;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.065;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.066;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.067;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.077;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.078;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.079;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.080;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.082;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.083;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.085;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.094;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.095;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.097;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.099;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.101;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.103;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.110;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.111;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
